Company,Employees,Investment,Success_Rate,Failure_Rate,Survival_Rate
InnovaTech,743,2952941,30.72,69.28,40.72
CloudCore,751,14242819,42.89,57.11,47.89
NextGen Solutions,506,14870142,40.49,59.51,51.49
CoreTech,531,38941812,79.34,20.66,91.34
SmartByte,129,10468076,20.0,80.0,28.0
FutureSoft,407,48777080,87.38,12.62,96.38
SmartByte,650,46663863,84.5,15.5,89.5
QuantumSoft,132,34376573,60.52,39.48,67.52
DataNest,592,47098482,92.41,7.59,99.41
PixelWorks,300,49345750,79.02,20.98,86.02
DigitalEra,450,14471714,33.21,66.79,41.21
VisionX,957,17657486,57.2,42.8,65.2
PrimeLogic,254,47617433,81.05,18.95,89.05
Vertex Technologies,601,25255488,58.91,41.09,69.91
VisionX,722,10943198,34.07,65.93,41.07
ABC Technologies,546,47022884,88.91,11.09,94.91
Alpha Solutions,100,38204231,55.31,44.69,67.31
SmartByte,905,6454543,33.83,66.17,38.83
SkyNet Systems,112,48558412,72.2,27.8,82.2
InnovaTech,546,44008033,85.39,14.61,90.39
NextGen Solutions,722,49411550,95.0,5.0,100.0
PrimeLogic,23,27912776,45.56,54.44,51.56
QuantumSoft,248,46043247,80.5,19.5,91.5
PrimeLogic,364,25716753,45.5,54.5,56.5
Fusion Labs,737,43145101,89.83,10.17,96.83
CloudCore,508,1112159,20.0,80.0,25.0
Fusion Labs,852,42547063,87.38,12.62,92.38
QuantumSoft,670,21044991,52.67,47.33,64.67
Alpha Solutions,215,25309414,40.41,59.59,52.41
VisionX,837,42951002,91.54,8.46,100.0
CoreTech,172,6144803,20.0,80.0,26.0
QuantumSoft,143,33308245,57.25,42.75,65.25
PixelWorks,217,6876565,20.0,80.0,27.0
ABC Technologies,308,41432653,72.39,27.61,83.39
DigitalEra,206,27587392,45.56,54.44,56.56
TechNova,27,5963626,20.0,80.0,26.0
SmartByte,247,44621874,73.34,26.66,81.34
TechNova,213,37648085,60.86,39.14,72.86
FutureSoft,256,11301869,25.63,74.37,31.63
QuantumSoft,379,40143597,72.59,27.41,80.59
TechNova,320,18268626,36.0,64.0,48.0
FutureSoft,258,47776525,79.4,20.6,85.4
DigitalEra,246,26549814,42.2,57.8,51.2
Alpha Solutions,273,27284444,50.12,49.88,59.12
Fusion Labs,921,41264980,91.53,8.47,97.53
Fusion Labs,747,14136727,46.62,53.38,52.62
CoreTech,507,46118133,84.39,15.61,95.39
TechNova,750,41560888,80.84,19.16,89.84
InnovaTech,418,48126471,89.73,10.27,98.73
Vertex Technologies,322,39333608,73.66,26.34,78.66
QuantumSoft,433,39677394,68.51,31.49,73.51
DataNest,870,42021837,87.13,12.87,98.13
SkyNet Systems,613,48498231,94.14,5.86,100.0
NextGen Solutions,113,45668929,74.89,25.11,84.89
PrimeLogic,180,7582063,20.0,80.0,25.0
DataNest,674,5287739,27.15,72.85,34.15
CloudCore,71,48819460,70.36,29.64,76.36
CodeSphere,188,41194878,72.43,27.57,78.43
CoreTech,539,12762285,40.31,59.69,46.31
DigitalEra,928,12225744,46.18,53.82,58.18
Vertex Technologies,683,38888666,81.82,18.18,92.82
SkyNet Systems,358,43744663,75.36,24.64,86.36
FutureSoft,807,21372645,56.27,43.73,65.27
VisionX,56,45894390,67.52,32.48,78.52
BlueWave Systems,27,46746515,66.93,33.07,78.93
SkyNet Systems,954,22403212,64.22,35.78,74.22
TechNova,873,18510765,50.96,49.04,58.96
SkyNet Systems,632,45857099,92.75,7.25,99.75
CoreTech,603,13627638,39.53,60.47,50.53
Vertex Technologies,914,25705270,67.98,32.02,78.98
PixelWorks,469,31231384,57.92,42.08,67.92
PixelWorks,117,24815436,42.73,57.27,52.73
SmartByte,797,49189818,95.0,5.0,100.0
SmartByte,461,1935514,20.0,80.0,29.0
DigitalEra,497,32951486,64.34,35.66,75.34
PrimeLogic,311,28477390,47.05,52.95,58.05
Vertex Technologies,201,36503214,59.78,40.22,67.78
InnovaTech,970,33282276,74.02,25.98,80.02
DataNest,413,15123257,36.07,63.93,48.07
ABC Technologies,569,42408831,79.68,20.32,91.68
CodeSphere,288,37264062,64.54,35.46,69.54
Fusion Labs,676,29532486,61.58,38.42,71.58
QuantumSoft,377,19732434,43.91,56.09,53.91
VisionX,63,27794268,44.58,55.42,56.58
DataNest,934,32580114,79.89,20.11,88.89
NextGen Solutions,730,22197265,58.2,41.8,69.2
CoreTech,311,2309709,20.0,80.0,31.0
DataNest,756,19745893,56.3,43.7,61.3
ABC Technologies,314,26191418,50.71,49.29,59.71
Fusion Labs,603,3613104,20.0,80.0,25.0
CoreTech,526,31547076,67.1,32.9,78.1
Alpha Solutions,348,7852896,20.0,80.0,27.0
VisionX,773,41926892,88.08,11.92,97.08
DataNest,370,9092068,29.74,70.26,39.74
SmartByte,572,19388237,43.24,56.76,50.24
CoreTech,868,22702076,61.09,38.91,72.09
VisionX,637,31818983,65.84,34.16,71.84
CoreTech,540,13203642,38.01,61.99,47.01
TechNova,300,45336496,75.0,25.0,80.0
Vertex Technologies,487,44991474,87.1,12.9,94.1
BlueWave Systems,123,9375383,20.0,80.0,26.0
CoreTech,820,32907417,76.96,23.04,86.96
CoreTech,297,49380056,85.98,14.02,94.98
Vertex Technologies,164,35743861,53.54,46.46,63.54
DigitalEra,844,16190990,45.61,54.39,50.61
NextGen Solutions,478,41350121,72.37,27.63,83.37
Alpha Solutions,573,9474500,26.4,73.6,34.4
CoreTech,374,42782691,73.39,26.61,83.39
SkyNet Systems,20,12584015,21.48,78.52,31.48
Fusion Labs,156,4168133,20.0,80.0,26.0
BlueWave Systems,963,37482766,80.11,19.89,85.11
ABC Technologies,347,13704779,27.97,72.03,39.97
PrimeLogic,845,12401349,43.95,56.05,53.95
SkyNet Systems,844,8526585,38.11,61.89,43.11
CloudCore,271,10229316,26.47,73.53,36.47
BlueWave Systems,337,29702468,57.66,42.34,68.66
Fusion Labs,830,34974749,73.36,26.64,84.36
NextGen Solutions,10,32020220,49.33,50.67,55.33
BlueWave Systems,385,11833551,32.3,67.7,43.3
SmartByte,402,47914261,81.93,18.07,90.93
FutureSoft,789,33061920,70.26,29.74,82.26
BlueWave Systems,942,2609349,31.17,68.83,43.17
TechNova,83,1641088,20.0,80.0,29.0
SkyNet Systems,23,4489820,20.0,80.0,27.0
CoreTech,588,16352261,41.17,58.83,48.17
SmartByte,264,44313307,73.39,26.61,80.39
Alpha Solutions,266,13095311,32.62,67.38,39.62
Fusion Labs,141,13252640,25.11,74.89,33.11
Alpha Solutions,493,30305248,63.25,36.75,74.25
CloudCore,541,29462774,56.42,43.58,68.42
InnovaTech,981,23522586,65.71,34.29,76.71
ABC Technologies,759,7273084,33.68,66.32,43.68
DigitalEra,759,42017981,90.8,9.2,97.8
PixelWorks,81,46571594,73.29,26.71,82.29
Fusion Labs,860,19541650,60.11,39.89,65.11
InnovaTech,647,30547935,61.23,38.77,71.23
PrimeLogic,783,41799690,83.19,16.81,91.19
VisionX,111,36175122,57.59,42.41,66.59
ABC Technologies,400,16625827,41.94,58.06,49.94
Alpha Solutions,176,42051646,69.36,30.64,81.36
SmartByte,148,23951569,35.37,64.63,40.37
CoreTech,992,29102747,74.41,25.59,80.41
ABC Technologies,605,22695338,54.19,45.81,63.19
CoreTech,54,45457631,67.81,32.19,74.81
BlueWave Systems,639,11993171,36.16,63.84,43.16
SkyNet Systems,603,25950656,62.02,37.98,74.02
Alpha Solutions,10,31827573,46.04,53.96,55.04
PrimeLogic,764,1977889,21.89,78.11,31.89
QuantumSoft,109,24332836,34.77,65.23,39.77
FutureSoft,868,20531592,52.84,47.16,63.84
CodeSphere,955,9269652,39.55,60.45,46.55
PrimeLogic,148,32639119,53.4,46.6,63.4
DataNest,505,28755529,58.28,41.72,67.28
TechNova,903,44831076,94.34,5.66,99.34
CoreTech,492,48141042,87.97,12.03,99.97
Fusion Labs,843,28596623,68.18,31.82,80.18
NextGen Solutions,517,49982601,91.48,8.52,100.0
BlueWave Systems,775,15647978,41.72,58.28,49.72
VisionX,844,4479027,28.04,71.96,39.04
Fusion Labs,141,795578,20.0,80.0,27.0
CoreTech,982,34935527,85.86,14.14,92.86
DataNest,57,9426821,20.0,80.0,27.0
NextGen Solutions,168,11103469,20.0,80.0,31.0
CodeSphere,806,33168176,72.93,27.07,77.93
CodeSphere,728,35128273,69.53,30.47,77.53
ABC Technologies,206,3472547,20.0,80.0,27.0
Alpha Solutions,296,20893436,44.22,55.78,49.22
InnovaTech,417,5141287,20.0,80.0,32.0
QuantumSoft,515,48087973,82.58,17.42,87.58
PrimeLogic,145,31404947,53.46,46.54,62.46
SkyNet Systems,190,11734828,20.0,80.0,27.0
PrimeLogic,236,34546220,55.9,44.1,66.9
VisionX,796,19800178,53.58,46.42,64.58
NextGen Solutions,72,20504423,28.92,71.08,33.92
QuantumSoft,21,2583491,20.0,80.0,28.0
QuantumSoft,27,43191921,65.6,34.4,75.6
NextGen Solutions,956,42703056,94.73,5.27,100.0
Alpha Solutions,507,48020363,83.24,16.76,90.24
BlueWave Systems,335,32172530,63.31,36.69,72.31
Fusion Labs,280,47428908,75.54,24.46,85.54
BlueWave Systems,404,29927882,52.01,47.99,57.01
TechNova,856,45790680,90.37,9.63,100.0
QuantumSoft,819,27763011,61.21,38.79,68.21
ABC Technologies,271,26018847,52.16,47.84,57.16
Alpha Solutions,688,16385716,48.22,51.78,60.22
TechNova,958,39856727,86.53,13.47,96.53
SkyNet Systems,738,8832640,36.39,63.61,41.39
PixelWorks,850,26096950,65.65,34.35,77.65
NextGen Solutions,682,39776050,75.12,24.88,86.12
